"","Name","Rk","Age","ORG","Highest_LVL","POS","Future_Role","Report","obs","word_count","sd","ave_sentiment"
"11","Matt Tabor","11","21.6","ARI","A","RHP",4.5,"We love how athletic Tabor is and how quickly each of his secondaries became good considering his Northeastern prep school background, but while some of our sources are inclined to continue projecting on his velocity because his build is still young-looking, we think two straight years of 90-93 (Tabor’s velo popped late in high school) makes it more likely the fastball settles here. He’s athletic, his arm slot creates rise on his fastball and bat-missing, vertical action on his breaking stuff, and Tabor has good changeup. We have him projected as a No. 4/5 starter.",11,97,0.417253076930936,0.296331444659045
"12","Levi Kelly","12","20.8","ARI","A","RHP",4,"Even though we saw him up to 96, we were not big fans of Kelly while he was in high school because he had a softer, maxed out frame and a stiff, violent delivery we believed would limit him to a relief role if his arm didn’t fall off first. Now, he has arguably the best physique in this system at a svelte 205, and was so dominant during minor league spring training that the org was compelled to send him to full season ball even though he was initially slated to hang back in Extended until short season leagues began after the draft. And Kelly delivered, striking out 126 hitters in 100 Low-A innings. ",12,113,0.129756716663676,0.0430711430596733
"13","Drey Jameson","13","22.5","ARI","A-","RHP",4,"In front of a huge contingent of scouts, Jameson carved up Stanford in his first start of the 2019 season and was immediately on the map as a draft-eligible sophomore. His high-maintenance delivery is hard to repeat, but it also makes things awkward for hitters, who don’t typically see this kind of arm slot/release point. And from that release point emerges nasty stuff. Jameson will touch 98, manipulates the shape of two good breaking balls, and flashes an occasional plus changeup. The delivery may make it hard for him to start, and Jameson has a skinny, atypical frame. Some teams think he ends up in relief, but it may be in a multi-inning or high-leverage role, and he’s held velo deep into games as a starter so he may have a shot to stick.",13,139,0.184420086800262,-0.05590642301232
"14","Luis Frias","14","21.8","ARI","A","RHP",4,"At times, Frias looks like a stiff, velo-only bullpen prospect. At others, he’s competing in or near the zone with four pitches, including a splitter that was much better in 2019. All four pitches give hitters a vastly different look. Frias’ mid-90s fastball has tailing action and his curveball has vertical depth and eats up hitters who are cheating on velo, while the split has late bottom when it’s on, and the slider has horizontal, cutting action. The movement profile of his fastball may not be the best for missing bats, but it’s likely to be an impact pitch because of the velocity. He could end up with three average secondaries (there’s a chance the split becomes better than that) and enough strikes to start, making him a potential No. 4/5 starter or late-inning reliever.",14,140,0.2232252338336,0.081668415678532
"15","Andy Young","15","25.8","ARI","AAA","2B",4,"Middle infielders with power are rare and yet Young, who is exactly that, somehow lasted until the 37th round of his draft and signed for just $3,000. This is the Cardinals’ archetypical draftee — a power-first prospect with questionable mobility. Collect enough of those and through a combination of luck and good player development, some of them will turn into passable defenders and become solid big leaguers or tradable assets like Young, who was sent to Arizona in the Paul Goldschmidt deal. ",15,81,0.311461849113811,0.194873610567936
"16","Seth Beer","16","23.4","ARI","AA","1B",4,"We have a source who indicated to us that Beer’s exit velos have been slowly declining since his freshman year at Clemson, and that jives with reports of his overall athleticism and mobility, which have also been in decline since his historic freshman season. It’s an odd athletic trend for someone who was once a decorated amateur swimmer, since swimmers are always ultra sinewy and lean. It is common for baseball players whose bodies mature early to also start to decline early, at least in our anecdotal experience, and this is true of Beer, who was on the scouting radar very early as an old-for-his-grad-year (we really need a word for this) underclassman. Instead of reclassifying and entering the 2015 draft as an 18-year-old, Beer skipped his high school senior year completely and early-enrolled at Clemson. He went on to have one of the best freshman years in college baseball history: .369/.535/.700 with 18 homers, 62 walks, and 27 strikeouts. ",16,163,0.160978655946351,0.0735506396229198
"17","Justin Martinez","17","18.6","ARI","R","RHP",4,"There was late-Spring backfield gossip that the D-backs had a hard-throwing righty in the DSL who we might see in Arizona before the summer was through. On the day before his 18th birthday, Martinez threw an inning of AZL ball and bumped 98 on the Chase Field gun. Perhaps more surprising than the velocity, which we had been primed to see, was how well Martinez executed his breaking ball over his next couple of outings. It’s only an average tweener breaking ball right now, but he consistently located it down and away from righties, enticing them to flail at it as it disappeared in the dirt. Eric saw some average changeups, as well. His fastball control is certainly raw, and while Martinez has a strong, projectable frame, his arm action is somewhat odd, with less external rotation going on than with most elite velo guys. ",17,148,0.21486748900967,0.0823088246559601
"18","Blaze Alexander","18","20.7","ARI","A","SS",4,"Alexander fell out of the top 10 rounds of the 2018 draft due to questions about his signability, hit tool, and age relative to his peers. He was almost 19 on draft day, which, combined with the strikeout issues, moved him way down the boards of teams who care about those variables, especially together. He ended up signing for a very reasonable $500,000. At the time he was seen as an advanced defender with an 80 arm (the teams most bearish on his bat in high school wanted to see him on the mound) and above-average raw power, which Alexander’s pre-daft proponents insisted he’d get to despite the strikeouts. Pro scouts who saw Blaze in 2019 did not quite drop a 55 on the power (which is supported by his TrackMan data) and called him “streaky,” which they perceived to be caused by lapses in focus. He had a strong statistical season, played several positions well and showed an encouraging idea of the strike zone, so we’ve held over his FV from last year despite the dip in reports on the power.",18,180,0.154827054458776,0.147734565186288
"19","Tommy Henry","19","22.6","ARI","A-","LHP",4,"Henry was a strong follow for the 2019 draft, sitting 87-90 in 2018, but took a big step forward in his draft year, coming out of the gate at 89-92, touching 93 mph. Later in the spring, his velo tailed off and some teams moved on, but it came back right before the draft with a strong postseason look for the National Champion Wolverines. Henry was nearly 22 on draft day, so his velo dip was more concerning, but we’re told an injury was to blame. His style of pitching, with deception, great body control, and a high arm slot, fits what progressive clubs generally, and Arizona specifically, are looking for, with vertical movement on the four-seamer and 12-6 action on his curveball, which flashes above average when his arm speed is there. His changeup also flashed above average at times and one scout we spoke with thinks there’s room for another 10-15 pounds of muscle even at age 22, giving him a No. 3/4 starter workhorse profile if things work out.",19,165,0.543877195037143,0.154806535975777
"20","Dominic Fletcher","20","22.5","ARI","A","RF",4,"Fletcher was a tweener outfielder as a SoCal high school prospect. He matriculated to Arkansas, where he slowed down a bit but grew into more power than expected. He still has a slasher-style swing and he has some strikeout issues driven by a rather indiscriminate approach, but he has a chance to be the larger half of a corner outfield platoon.",20,62,0.241249212461269,0.0490310228664756
"21","Jeferson Espinal","21","17.7","ARI","R","CF",4,"Espinal is built like a human sports car, chiseled and square-shouldered. He runs like one, too, and may be a plus defender in center field at peak. He has crude feel for slasher-style contact right now, and the way his style and quality of contact develop will dictate what kind of role he’s capable of playing. Right now, he swings and hits like a tweener, but he’s so young that his physical abilities, which are loud, matter much more at this stage. He’s a talented, long-term developmental piece.",21,94,0.235184453381642,0.398858350672843
"22","Josh Green","22","24.5","ARI","AA","RHP",4,"Green was a 14th-round senior sign last year and like most senior signs, had 45/50 stuff in college. He was 90-94 with two average breaking balls and had little college experience because he didn’t move into the rotation until his senior season. Last spring, Green’s stuff was up — touching 96 with big sink (he had a 67% GB%), and flashing plus secondaries — for a while before coming back to Earth during the summer after he returned from biceps tendinitis. He projects as a sinkerballing fifth starter.",22,85,0.139032827126985,0.029413786487699
"23","Taylor Widener","23","25.3","ARI","AAA","RHP",4,"Widener’s stuff was down across the board last year. Less velo, less spin. That, plus Reno’s hitting environment, plus the new Triple-A baseball, meant Widener went from being the minor league strikeout leader in 2018 to getting shelled in 2019 (his ERA was 8.10). His fastball has natural cut, which is something teams try to eliminate nowadays. It’s possible his fastball movement will change in a meaningful way, but for now we have him projected as a fifth starter.",23,80,0.0611564470092472,0.0813042771022297
"24","Ryne Nelson","24","22.1","ARI","A-","RHP",4,"Nelson had injury issues and moved back and forth from the rotation to the bullpen at Oregon. In the ‘pen, he sits upper-90s with life and angle, and his breaking stuff has nasty, vertical action. Reports we have from amateur scouts, when compared to what we have from Nelson’s pro summer, indicate the D-backs are perhaps trying to tweak Nelson’s breaking ball in some way. This is a potential late-inning arm but we wouldn’t anticipate Nelson to come along quickly considering how raw he is due to a lack of reps.",24,97,0.238411906854726,-0.173387619897693
"25","Pavin Smith","25","24.1","ARI","AA","1B",4,"Smith has had elite strikeout-to-walk ratios dating back to college, but lacks the raw power and lift necessary to profile as an everyday first baseman. Last year, his body and mobility improved, which made him more playable in both outfield corners, and Smith had a strong offensive season in the Southern League, which is tough on offense. He now projects as a high-probability corner platoon role player.",25,70,0.097989299285131,0.022094116280121
"26","Domingo Leyba","26","24.5","ARI","MLB","2B",4,"There’s a chance Leyba hits enough to become a César Hernández type of low-end regular, and perhaps with his ability to play a passable shortstop, he’ll be something slightly better. But his injury history is lengthy (Arizona was granted a fourth option year on him due to injury), and he has a somewhat concerning lack of power. He’ll either hit enough to play everyday or he’ll need to start playing other positions to carve out a bench role. He’ll compete with Josh Rojas and Andy Young for playing time in the spring.",26,100,0.283710661193722,-0.0547876088747159
"27","Jorge Barrosa","27","19.0","ARI","A-","CF",4,"Barrosa isn’t toolsy but he has good feel to hit from both sides of the plate and terrific defensive instincts in center field. He’s stout and not very projectable, but already looks like a potential bench outfield type who can play all three spots, and it’s possible he develops an impact hit tool and finds a way to start somehow.",27,63,0.144495404326721,0.242285814829168
"28","Buddy Kennedy","28","21.4","ARI","A","3B",4,"He’s not especially athletic and has mobility issues at third base, but Kennedy can hit. He’s tough to beat in the zone and has strength-driven doubles power, which is probably what he’ll max out with since the cement on the body appears dry. He’s got a squatty, catcherly build and some of the industry wants to see him back there. Arizona seems inclined to try at least some defensive variation here, as evidenced by Kennedy’s handful of starts at second base. We couldn’t find anyone who’s seen him play there, but we suspect he’d have a better shot at catching.",28,109,0.294382955124391,-0.125902075179505
"29","Alvin Guzman","29","18.3","ARI","R","CF",4,"Reports from a couple of sources who saw Guzman in the DR during the summer were concerning. They described an elite athlete with an elite frame who had no idea how to hit, both from a swing efficacy and pitch recognition standpoint. That Guzman was passed over for a late-summer promotion to the U.S. is also telling. He’s too physically gifted to come off of entirely, but his first pro summer was erratic.",29,76,0.140908978559782,0.0647943820910551
"30","Jhosmer Alvarez","30","18.7","ARI","R","RHP",4,"There are some yellow flags here. Alvarez didn’t pitch much during the summer due to minor injury, his build is somewhat soft, and he has a violent delivery that creates significant relief risk. He also has promising arm strength for his age, a dandy splitter (with an average spin rate under 1,000 rpm), and he creates viable shape and depth on his breaking ball, though it’s clearly behind his split. He’s likely a long-term bullpen piece, but he could have two huge out-pitches if the velo ticks up out of the bullpen.",30,96,0.330993272385167,-0.198903666552537
"31","Drew Ellis","31","24.2","ARI","AA","3B",4,"Ellis has a very quiet, easy swing but somehow still generates plus power. His near-elite walk rate belies what scouts and in-office sources have indicated to be middling pitch recognition, which sometimes causes him to mis-hit crushable pitches. This manifests as lots of awkward or checked swings, but Ellis doesn’t typically flail and whiff, and he’s strong enough that the contact has a chance to be meaningful even if he didn’t take a great cut. It’s a fair, power-over-hit corner profile that takes a hit if Ellis should ever need to move to first base. So far he’s been playable, but not impactful, at third.",31,115,0.0718315543186541,0.0840620717231692
"32","Neyfy Castillo","32","19.0","ARI","R","1B",4,"This is probably a right-hitting first baseman in the end, and Castillo’s frame is not as projectable as his measurables might indicate, but he’s young, already has sizable raw thump, and is quite athletic for how big he is. He’s also shown all-fields, in-game power and has surprising straight-line speed for his size. He’s clearly a tier below the Luken Baker type of high school hitter (which would be a 40+ or 45 FV type of prospect), but better than the heavy-footed mashers who beat up on their smaller peers in the lower minors.",32,101,0.14172691252233,0.259415135132631
"33","Glenallen Hill Jr.","33","19.4","ARI","R","2B",3.5,"A tooled-up ball of clay, Hill needs to be sculpted by player development. He is ultra-twitchy, has plus bat speed and surprising opposite-field power, and can absolutely fly, but he’s raw as a hitter and defender. They’ll try him at second base but the outfield is a long-term possibility.",33,55,0.14526079202397,0.127833481271125
"34","Kevin Ginkel","34","25.9","ARI","MLB","RHP",3.5,"Ginkel’s velocity has exploded since college, and he now sits 93-96 with tough angle. He also has two good secondaries, a change and slider that both have late, downward movement. His slider has sharp, vertical action and he’s pretty good at locating it down and to his glove side. He’s a likely long-term bullpen piece and he’d be a 40 FV if he weren’t already 26.",34,69,0.280184074788117,0.210495109956661
"35","Junior Mieses","35","20.4","ARI","R","RHP",3.5,"Mieses displays impressive flexibility and rotation in his shoulder and upper back, which helps enable his fastball to peak in the mid-90s. His delivery has some stop and start elements that can disrupt his timing and release point, which creates reliever risk, but the three-pitch mix has projection commensurate with a No. 4/5 starter.",35,55,0.559471183810477,0.156957329300394
"36","Matt Peacock","36","26.0","ARI","AA","RHP",3.5,"Peacock has a heavy, low-90s sinker that has enabled him to generate a 68% groundball rate in 2019. His slider has a 2800 rpm spin rate, but visual evaluations of that pitch put it closer to average. His changeup moves and tails, but is often easy to identify out of his hand due to altered release/arm speed. On one level, Peacock is a one-pitch 25-year-old, but on another, he has a dominant, grounder-inducing fastball and his secondaries have some characteristics that may just need to be refined for one or both of them to be effective.",36,98,0.173139245551633,0.218967554285982
"37","Matt Mercer","37","23.5","ARI","A+","RHP",3.5,"Mercer was a max-effort 94-97 in college, had scattershot fastball command, and a plus changeup. His velo was down in 2019 (we have him peaking at 96 but average 91-92) and neither of his two breaking balls is especially sharp, though they do have vertical action. We think he’s a Tyler Clippard-style changeup reliever so long as the velocity returns.",37,59,0.207329455016045,0.235932024162823
"38","Conor Grammes","38","22.6","ARI","A-","RHP",3.5,"Grammes was a two-way player at Xavier (he has plus raw power) and we hope the focus on pitching will enable him to eventually have usable control. You could argue he has 20 control/command right now, and despite the electric quality of his stuff, he’s a long shot to be a big leaguer. But he was up to 99 in college and would flash an occasional 70-grade slider, so if things come together, he could be a bullpen monster.",38,80,0.260468338642615,0.179026174499835
"39","Eduardo Herrera","39","20.1","ARI","A-","RHP",3.5,"In the last year or so the D-backs have tried more former position players on the mound than most all of the orgs we monitor in Arizona, and Herrera is one such player. He signed as a catcher, then quickly moved to third, and finally to the mound in his third pro season. His fastball was 94-97 almost immediately. The D-backs sent him right to the Northwest League despite erratic command and breaking ball quality. He’s a developmental relief prospect with premium arm strength.",39,86,0.268046233594881,0.247332087355705
"40","Jake McCarthy","40","22.6","ARI","A+","LF",3.5,"McCarthy has gone from a player whose pre-draft physical talent may have been masked by injury to someone who appears to be injury-prone. He was running well in the Fall League but the quality of his contact was still limited despite his return from a pair of summer injuries, and we think he lacks the thump to be a real platoon option. It’s possible he has some yet-to-come physicality, which is why he’s still on the list.",40,83,0.34682052177371,0.0846218120559651
"41","Bobby Ay","41","22.7","ARI","R","RHP",3.5,"The physical manifestation of a Henry Winkler catchphrase, Ay is an interesting 2019 sleeper who missed almost all of his 2018 college season due to injury, and generally threw few innings in college. He has a fast, efficient arm action and can spin a breaking ball. He might break out on a pro development program.",41,53,0.206545641739754,0.206776535718328
"42","West Tunnell","42","26.3","ARI","AA","RHP",3.5,"Tunnell played the middle infield at Baylor and didn’t step on a mound until after the D-backs signed him as an undrafted free agent in 2016. As you might expect, he’s raw for a 25-year old, but Tunnell has only recently developed real stuff. He was topping out at 92 mph during some of his 2018 outings, but now sits 93-96 with premium spin and a ball axis that creates vertical movement. He’s older, but might get a look in the big league bullpen sometime in 2020.",42,86,0.122233521660102,0.12484234092471
"43","Eduardo Diaz","43","22.6","ARI","A+","CF",3.5,"Diaz has a collection of average tools that are undercut by a haphazard approach at the plate. The power output that made him rather intriguing back in 2017 now seems like a synthetic creation of the Pioneer League hitting environment. ",43,39,0.262711370042845,-0.153784883798762
"44","Avery Short","44","18.9","ARI","A-","LHP",3.5,"Short is a relatively unprojectable pitchability lefty with a vertical arm slot. Based on some of the other pro and amateur acquisitions the D-backs have made, some combination of this type of arm slot, the spin direction it helps create, and the approach angle of the pitch seem to be important to them. Short got a $922,500 bonus to sign instead of heading to Louisville.",44,65,0.248798205485485,0.224818692695637
"45","Edinson Soto","45","23.4","ARI","R","RHP",3.5,"2019 was the first year in pro ball for the 23-year-old Soto, and we don’t know why or where he came from. MiLB.com’s player page doesn’t even have his signing date in their transaction log. This is a pretty wild 23-year-old in the DSL, but Soto’s lean, athletic build, his arm strength, and his ability to spin a breaking ball are such that he needs to be on our radar, especially considering how little he has pitched.",45,83,0.227354901113159,0.204389360026796
"46","Cristian Pache","1","21.2","ATL","AAA","CF",6,"Even though he hit .278/.340/.474 as a 20-year-old at Double-A Mississippi, there are still some level-headed, long-term questions about Pache’s offensive ability. He had a 17% swinging strike rate last year (if we 20-80’d swinging strike rates, that’d be a 30), and you might quibble with elements of the swing, most notably that the bat path only allows for power in certain parts of the zone, and Pache has a passive, shorter move forward. The hand speed and rotational ability to hit for power is there, and he’s athletic enough to make adjustments in order to get to that power (selectivity might also be an issue), which, coupled with some of the flashiest, most acrobatic defense in pro baseball, gives Pache a cathedral ceiling.",46,128,0.246878159760109,0.0462130889416374
"47","Drew Waters","2","21.1","ATL","AAA","CF",5.5,"Waters’ initial rise to top 50 prospect status was surprising to some, coming as it did by the end of his first full season. He’s got 55-to-60 grade tools across the board and always hit in high school. Some teams were and remain turned off by his loud personality, while others just see him as a colorful guy. The other concern is his aggressive approach at the plate, which didn’t give him any trouble until his taste of Triple-A late in 2019, and some scouts and analysts think it could be a problem in the big leagues.",47,98,0.330651441901754,-0.0387321563141011
"48","Ian Anderson","3","21.7","ATL","AAA","RHP",5.5,"Anderson is tracking like a mid-rotation starter, even though he hasn’t added velocity since high school, because his secondary stuff is excellent. The pitch with the most obvious beauty is his shapely curveball, which has enough depth (despite its paltry spin rate) to miss bats in the zone, and also pairs well with his fastball’s approach angle. His change has tail and fade, and either it or the curve can finish hitters. The Braves amateur department really stuck out their necks in 2016 by cutting an underslot deal with Anderson, and then using the savings to sign Kyle Muller and Bryse Wilson, who are both key near-term pitching staff stalwarts, and Joey Wentz, who was traded. That’s an impressive class, especially considering how risky a subgroup prep pitching is.",48,133,0.175664085548194,0.0592808798798803
"49","Kyle Wright","4","24.3","ATL","MLB","RHP",5,"Wright has now had two frustrating cups of coffee with the big league club, and some of his underlying issues (chiefly, a fastball that doesn’t produce results anywhere close to what you’d expect given how hard he throws) mimic those of the Aaron Sanchez type of pitching prospects who Look Right but don’t quite pan out.",49,59,NA,-0.429519255107934
"50","Bryse Wilson","5","22.1","ATL","MLB","RHP",5,"Wilson is a scout favorite. He’s an aggressive bulldog with a football background who relies on spotting his fastball in all quadrants of the zone, with the velocity, movement, and command all grading above average on his various fastballs (he has a distinct four-seamer, two-seamer, and cutter). He’s a solid athlete with strong command and a solid average changeup, and everyone raves about his work ethic and makeup.",50,72,0.2127402544265,0.2576584116006
"51","William Contreras","6","22.1","ATL","AA","C",5,"Stay on Contreras despite the relatively vanilla offensive performance. The Braves pushed him quickly — half a year at Hi-A, half at Double-A at age 21 — and the developmental priority seems to be defense for now. Contreras also has quite a bit more raw power than his 2019 output would suggest. His swing is a lot like Pache’s right now, which is indicative of some of his issues but also how athletic Contreras is for a catcher. He can drop the bat head and yank balls out to his pull side at times, then lunge at breaking stuff away from him at others. It’s rare physical talent for a catcher who projects as Atlanta’s everyday backstop.",51,118,0.286247164931035,0.0866673016591297
"52","Tucker Davidson","7","23.8","ATL","AAA","LHP",4.5,"Davidson was a low-profile JC arm who the Braves gambled on in 2016. After improving his body composition entering the 2017 season, his stuff and command improved too, and he looked like a potential no. 4 starter. After plateauing at that level for a bit, Davidson’s 2019 represented another step forward. He ran his heater up to 98 during the regular season, then got some attention weeks ago when he hit 100 mph at Driveline on a motion capture-enabled mound. His four-seam fastball has big rise and velocity, while his curveball has plus spin and his slider is 88-91 mph, with all three garnering strong results in terms of whiffs and grounders. The main adjustments in this bump were mechanical, with another round of refinements to his frame. There’s now mid-rotation upside, and Davidson has reached Triple-A as the optimization process is now closer to complete.",52,146,0.189171527407978,0.171370371776603
"53","Shea Langeliers","8","22.2","ATL","A","C",4.5,"Langeliers was a mid-tier prospect in high school who took a big step forward as a freshman at Baylor and on the Cape that summer, developing the raw power to be more than just a catch-and-throw type. He still didn’t put up much in the way of traditional statistical production until the second half of his junior season, which amazingly occurred after a very quick return from a broken hamate bone. He was scouted heavily over the summer with Team USA, so scouts knew solid average raw power and some feel for contact were present to go along with above average defensive skills and a plus arm.",53,111,0.0319747197723154,0.36560609444076
"54","Braden Shewmake","9","22.2","ATL","AA","SS",4.5,"Shewmake isn’t a traditionally exciting player, as nobody really saw big raw power or flashy tools leading up to the draft. Some clubs were down on him and we piled on by moving him down in our rankings just before Day One, seeing a non-shortstop with a track record of hitting but without much power or any loft, who seemed one-dimensional given a swing that often barred-out. It would appear that point of view was wrong, given Shewmake’s quick transition to pro ball, which better showcased his ability. He went straight to Low-A after signing and was outstanding at the plate, with an excellent approach and sneaky power, to go along with very positive public and private defensive metrics at shortstop.",54,127,0.306210068576657,0.222424791570444
"55","Kyle Muller","10","22.3","ATL","AA","LHP",4.5,"A bit of a pitch design autodidact who got the Driveline treatment during the 2018-2019 offseason, Muller came back with more interesting stuff, as well as a skyrocketing walk rate. His stuff is great, especially the fastball, which has one of the highest spin rates in the minors. Muller’s delivery has become less staccato, less deliberate, and more athletic, but his max-effort style and difficulty repeating likely pushes him to the bullpen, or at least keeps his innings count down if he ends up starting.",55,86,0.18137576078134,0.155556356296343
